0.psd_delta,0.psd_alpha,0.psd_gamma,1.psd_delta,1.psd_theta,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.delta_rel_power,2.beta_rel_power,3.psd_delta,3.psd_theta,3.psd_beta,3.psd_gamma,3.spectral_entropy_value,3.delta_rel_power,3.beta_rel_power,4.psd_delta,4.psd_theta,4.psd_alpha,Stress_level
24736.23435420851,5508.867713050841,1329.342276791789,13183.327807128688,6950.357809993863,10905.00076015131,7442.235797568411,4659.5198394186,3210.465450856678,1071.366574926901,4.78256532557212,0.2211126874337799,0.3757798595648569,17341.39645300163,8156.98059980629,3240.080840969541,949.8872399781088,4.520229018354261,0.2802758266202587,0.2858379007284663,21973.65520760821,8192.738805172774,6710.434928778462,1
12758.6317918286,8419.718081571033,845.3070555197096,11707.8130334833,7112.867202275264,9249.100374105696,5447.0604440506895,5324.311495832782,2378.0351224367464,372.4200017274428,4.421020537772453,0.2023191377475496,0.3718488669875878,9333.508872870423,5358.027531265629,2421.52666841942,446.1708428555338,4.481886103764342,0.2643921656220767,0.2577491222635195,8166.73000147673,8665.151703429721,7446.281771368427,1
20645.508393586828,7023.973614551521,966.4823520616792,12041.930479192204,4430.812520354517,10200.002915525767,4601.774847807951,7593.541878379815,3202.169729436306,583.0494788057841,4.645635535847748,0.1201049852372999,0.4069239208765737,12198.96211115328,6701.979536703652,3237.4179630783246,668.7739993506914,4.640452666510119,0.1186178887238745,0.2954201131859291,15882.167167779216,9685.815422972164,7978.939502892542,1
10456.558526446304,9115.999687541056,785.957429505837,8028.195895605935,12258.975170666889,7293.740216307086,12018.341434188049,3920.797446846894,2877.559205514571,1184.5005605967492,4.669579624836349,0.1131471781566837,0.3748342025338451,9897.433326835,7964.059486025142,3482.664994967688,1369.204123010472,4.952516604719092,0.1012433458568426,0.4082213858225245,11420.882739510918,6789.816200717872,10184.5674331889,1
17407.84802499611,10897.155717829644,1647.524621600022,10266.896827192391,6708.101624100917,10524.140517427317,7116.536038380093,5520.403558810188,5082.647328778297,1388.9671174434325,4.655967393362016,0.1571132181021784,0.5085295197370859,10452.886901704373,6178.132687326138,5272.672077698098,1623.0171976287015,4.898717826357089,0.1239770040635163,0.5213333342571794,14592.37012938946,7229.534289074884,9365.897325647267,1
15108.222920874452,8382.36421207811,1129.2755682756804,9006.418951839856,6173.669951585,7939.161650473428,6159.781649733732,4826.79044295628,2743.470523757292,931.1743831342894,4.74793381950786,0.2647752655444943,0.3525440624406565,10982.568140268846,5575.331735111864,2588.204437694176,955.3807285270613,4.654167068766404,0.3384628064130536,0.3266840415959283,14598.502173453917,7202.619070328072,9331.6306662132,1
11975.254589054335,7722.938780815904,1250.9761542938156,6997.849427299672,10530.383944231377,5050.696328349439,9834.0282707119,4816.498348042738,3303.0746164480765,1711.8102482804418,4.554245744682158,0.1195992179815019,0.2521830515020097,4672.736782272844,9271.846744280418,3919.6049498029056,1753.187829967634,4.61914603166914,0.1247974589672969,0.3542346129708051,7979.010632197673,9993.288949901664,9659.660998038971,1
11622.694755616934,4173.246859936876,1067.4226786567945,5148.960867125335,11272.99405438891,5164.586433171873,9616.005744901968,6951.075572844299,4651.511622711123,647.910250606161,4.589859372105858,0.0515113555609966,0.3111185472446194,8444.794126044177,13899.30224165884,4634.53654589859,615.7996858904208,4.26528048109793,0.0855049954939074,0.2808199339033711,11707.004890008757,17438.080234823956,5223.538128488014,1
3089.5302740965067,8894.123377459733,1117.757561950468,4292.050649133531,5738.289897654317,8398.124089926041,4444.111676143806,7147.618585588651,3753.049723422169,813.7753087566208,4.693657822369955,0.1540354005761475,0.3729223393216269,3438.3926786239954,6760.572199520541,4636.474403990798,992.3709675485472,4.785034597625225,0.097226376013228,0.4230761648765875,6621.601394878737,8189.478524552709,12354.11707142573,1
10764.61622476026,7279.987737252312,2432.4650772063824,4475.124931662319,12341.481894809089,2510.70164599119,11973.550161975294,7448.123637545678,3803.859832948064,1852.2968284934625,4.775255354339109,0.03760196449103,0.2938333278891094,7129.492115025548,9604.123418133964,3901.748834831581,1508.431298073429,4.8224612664345,0.0853606858149806,0.3063458764782788,11808.95205370164,11212.7577660832,7759.275594950275,1
