0.psd_delta,0.psd_alpha,0.psd_beta,0.delta_rel_power,0.theta_rel_power,0.alpha_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_gamma,1.spectral_entropy_value,1.theta_rel_power,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.sample_entropy_value,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,Stress_level
9007.2426669595,7007.523857015676,5054.528823769163,0.046837788018484,0.2339085033673896,0.0974719363877327,0.3151635539960079,12973.001903814797,4374.915661781949,6157.6022184506255,2462.921192783308,4.633187040573367,0.108935217232315,10561.547506210149,5737.474776572832,6038.942408175106,3331.8107856022816,2185.747245226443,4.662336726769971,2.833213344056216,0.1970353801441583,0.1476842081016496,0.1709620131552511,1
13126.049302098689,3951.238245761051,6651.582535938192,0.1126547753101211,0.2030137376211463,0.0988280890434891,0.2988930583906806,14897.3564776058,7304.277107202989,2419.0158502735794,3530.716300774658,4.999009623970228,0.1052954883264133,15437.71383305117,4222.833719311265,1758.864737679721,5600.635964007307,3362.6891105256946,4.880788566875074,0.0,0.1954239893850403,0.0706718211348268,0.0221852570558617,1
10187.443543011732,7312.476708166882,5386.537219574358,0.2276326177635092,0.1725443748102335,0.0806531276208579,0.3828862385377153,8753.563071183326,8343.38855099,6520.0031736218525,2199.648299118624,4.974848872338332,0.1807324862508528,8743.452534666832,9812.367154471893,5783.257331748624,6646.1591709742825,2269.866611274904,4.995098355323796,1.6739764335716716,0.0660753936131352,0.1957780113502291,0.0785962509264528,1
16205.157760732256,11023.12269686542,4517.605754424612,0.0739346551932289,0.1611620646259625,0.1655707133476993,0.1848208589343916,17125.400078728613,9068.09089235302,8096.97073996002,3382.500136140816,4.708858017523033,0.1001595719685288,16052.711470575874,9161.403591571656,7181.135407545332,4284.98943387813,3413.718631909301,4.718205722178403,1.7047480922384253,0.0991209355909207,0.1043219388565376,0.0880698784286005,1
8307.336370054645,9115.388172490886,5986.176496115348,0.1013548204306643,0.1631619492065216,0.1182743131521688,0.4614626852046038,5987.325726005491,12843.224065624396,7596.549607033994,2146.7571958880885,4.988692474987375,0.1586128731195874,4754.091763620486,14379.94399198165,8397.390661710817,5013.366426661192,1906.289712110414,4.937099818372392,2.890371757896165,0.0526718025454706,0.2163333668058188,0.1463667154057553,1
15541.068177052532,4576.997602138593,9840.166963173566,0.209495500003587,0.2158029617899756,0.0917264261473069,0.3714550545309835,17956.75951469438,14066.603009313578,3539.8856669467173,2634.372106087545,4.83936268221306,0.2104909334195699,19697.48158578272,11374.677494618303,4028.208140133344,7249.714900639114,2242.6279085855986,4.880335828159537,2.3978952727983707,0.2288520807699884,0.1967956641442159,0.0964580384768521,1
17238.02556271098,12061.664941975509,4898.419836921892,0.1761341602785577,0.1618063758949445,0.2312389375915481,0.2351665143308355,17005.056512539413,9339.56881266992,5437.076666896141,1996.803729499932,4.681270988935993,0.1647147337761243,16082.503805947854,10241.58155524447,5156.883780983094,3884.648331091332,1977.9858866471247,4.73527859817586,1.466337068793427,0.1503143703043437,0.2104550063631055,0.137212507588934,1
11606.255395212058,7428.260393043411,7007.160481264269,0.085261047723893,0.1514829293943351,0.0365674562785609,0.4154819801527268,7983.662693245095,6224.1188066940485,5511.128933033786,1803.6472673486023,4.845141602129165,0.1238179625118924,6784.7319782038585,7926.651310578775,5171.650126674142,4509.018099709997,1948.4561353802128,4.745351101689164,2.4849066497880004,0.0748076760917256,0.1254617098266021,0.1538566275291303,1
16699.969101512423,5386.320784860583,7067.378715927178,0.1793870122139864,0.1766446974364494,0.0751906058078219,0.459010411910773,14774.952418665398,9065.698662057928,2903.519705543232,2401.239131879569,4.548335136238346,0.1374551140279446,13881.304363925829,7579.6160746278065,2368.4789388021727,7295.425018857726,2391.759636459725,4.566493418075355,0.8266785731844679,0.1575189459402524,0.0998069773165292,0.0265854007265525,1
18247.117341432862,5506.721716106581,6677.388232450751,0.2828363331596278,0.0688360814658901,0.0607175573009413,0.3081541439763052,20493.146032439334,5602.510606124959,5606.400939647582,2305.42466009838,4.563899010283333,0.0884209418557717,19967.174416337617,6561.725415768675,5823.4319039781285,6045.581019892522,1929.0768172305548,4.695446192747264,0.0,0.3063668587035972,0.0892378450223595,0.075987517875778,1
7330.025926536005,10135.33141739582,4528.573380655808,0.0889692233664539,0.2412912768073514,0.1785241285784619,0.2411933640109021,14603.339611595173,9129.513053743543,9867.344792358308,1657.986911158592,4.548418136662578,0.0785461602328217,14907.38972756566,8589.856046556799,8685.296521225615,5822.782852984216,1510.4867726211323,4.528158070959463,1.1349799328389845,0.2981595459758226,0.0752235809726015,0.1888630857759635,1
18980.053072257524,10834.141835219909,6498.271973683226,0.241363587321552,0.0431176953995962,0.1521876174705254,0.4010108196223129,16470.944670246787,5147.457439752761,10858.476472845958,2884.0843094920606,4.776999377326682,0.0302667025211402,15216.86585581471,4468.391925679759,9552.752617229087,6556.749486594628,2615.8460625583502,4.804501255904715,2.302585092994045,0.2036706157006845,0.0328188033742677,0.1520375336506215,1
12497.603035427115,4902.452057225712,5742.872344331278,0.1901634000948613,0.1813375797186031,0.0402801577707767,0.4845672763727193,10607.178835412407,9876.05418554848,7242.303631774567,2869.196959479332,4.9955455388461765,0.193806843437661,7249.173463528509,10219.993034385492,5596.713504856278,5353.416106498157,2735.3360419903947,4.998515630118324,0.0,0.0960905517385324,0.2294074117960483,0.0846007767050443,1
9215.09541716354,4643.874366648132,5886.427496905241,0.1000957869311458,0.3579451911306022,0.0748402178919586,0.2374195351797893,11166.849607294567,16966.492994067903,5596.703612102695,2467.114582479123,4.473357444573477,0.4139013228926783,9842.145049836015,16237.46543769562,5685.526969135369,4440.548635753672,2138.7741929956183,4.430482691218735,2.302585092994045,0.0543844880209822,0.401259762537562,0.1137113262337915,1
13173.156118580557,10879.6802721304,7702.87759216584,0.0820556139153979,0.2114988512550957,0.2053745471462547,0.335311018182915,9039.178161451771,9013.938951633,10023.211080196796,2125.472631945428,5.045543613275842,0.1777274836488514,7864.75133514984,8178.282306102895,9690.762541251834,6548.615438630854,2200.870793180191,5.035685899029383,2.302585092994045,0.050001263477253,0.1534069217010258,0.2003472746445897,1
11209.91167788047,6132.498577163599,5385.62035077389,0.1249641230219134,0.1317574679430085,0.0984789063300182,0.395999571004636,12100.477885216986,6157.959337756564,4169.433028818344,2818.909607330842,4.805727317057121,0.1117894649347876,12812.866849647777,3397.555888292575,4737.488811606956,4440.956235838191,2370.40256608235,4.616191711253152,0.0,0.2234185511093941,0.0216069285377488,0.0611654241862533,1
25785.472397091296,5944.7021141194045,6851.4087369841045,0.1049627345109163,0.1289090045674009,0.0682926064865534,0.4988794122872243,21995.36438180181,11684.433600681745,8118.66698157782,3678.096586558573,4.680069992712157,0.0857382497913018,19622.88138094084,9140.423330645515,8623.670361475479,6251.964094551421,3437.898090961482,4.815477767348929,1.871802176901592,0.1257483589456537,0.0696793235557941,0.1623115931504312,1
13757.560487420356,4606.6954823350425,4300.5294751724405,0.22011984041284,0.1021105655758578,0.0392140040298765,0.3438797068819412,16975.59560942266,10770.812953077588,4346.214138462109,2608.945114874918,4.654355763253375,0.1269602755295102,15400.499371892083,8431.52690002724,4996.575229866019,4967.130622364932,2626.6107523482588,4.742108265118958,1.791759469228055,0.2232432086132516,0.1237779776650836,0.0962454146938621,1
13481.380114432231,8613.29588962521,3054.843335134768,0.212624856818363,0.1195976126726499,0.1738369348088841,0.19632157634664,10838.664107602828,14000.546308436677,7150.400612802138,1910.2235183331447,4.451597048621997,0.3669893746052624,8964.696908022843,15926.62646388356,7696.360596792973,3144.421603352984,2056.967357611174,4.452880887852834,2.302585092994045,0.1516419199789115,0.3926001034464031,0.1260287191152704,1
