0.psd_delta,1.psd_delta,1.psd_beta,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,2.beta_rel_power,3.psd_delta,3.psd_alpha,3.psd_gamma,3.delta_rel_power,3.beta_rel_power,4.psd_beta,5.psd_delta,5.psd_theta,5.psd_alpha,Stress_level
25980.365619072792,31357.46092088065,13557.28620984764,46301.76423592545,28844.073751268472,14951.097296705657,17210.471115724267,15363.435568237544,4.405733676302942,0.0919488673553921,0.0926663864538447,0.0794676147655915,0.352512627017002,44436.77603145693,14791.69537337838,16789.732264742055,0.0759603158594518,0.4492850586989972,14313.513680924874,20121.763114086545,23899.179726606817,7875.710171229132,1
32016.28087197077,29795.589337305755,22801.22132478128,25299.541293464503,28896.605836550512,15963.502120405756,23113.18703917968,7183.317315166751,4.917031344570032,0.0675434800491497,0.1469588563777062,0.0456942513547736,0.4596455299089406,23820.433724827235,12696.729330678225,8171.298454359961,0.0894802640279864,0.4022163867605676,17592.630156475636,18195.78202779005,13987.642316140274,4881.314095261264,1
54013.4635389315,68732.10835435466,21602.882342011468,72834.96650443715,28757.01650522904,10495.695658825502,25011.9429396162,8200.79800154881,4.805795381487133,0.2075537136064741,0.1646223164260355,0.0683917265890318,0.3634408993557104,46884.321261801895,8279.806013647742,6200.229131402751,0.1151779660163784,0.438397761533547,15753.610957215737,23105.286501907525,20652.89890199648,5404.76649278354,1
31091.40254989353,34179.11958322972,23074.309388343783,44310.79750866946,32634.755979573645,14080.206591829809,26109.96952262877,16454.414881147914,4.886740741730326,0.1067038645060505,0.1164036891628099,0.0517824135278817,0.3755544908678909,34589.16702548224,12444.55994273132,16611.77654803623,0.0992805617501136,0.3323173500002497,14549.495554344285,12291.853276358812,14729.773893487774,7285.141669402758,1
22055.35255658489,31326.98219237245,17360.875677640946,27583.16767643942,18066.86997136317,12165.54983179391,18083.27774630457,13290.351696314416,4.966848243177537,0.0750340128674172,0.0202032579551954,0.0655792189501625,0.4766847341851893,21572.755502522567,18903.54750926213,12929.320694351776,0.0515082139464178,0.4412354542915963,13145.4423160099,11315.62784950957,8185.105095354565,15480.958458353276,1
20107.814789498007,14136.534681489453,19084.30166729584,16622.774345145914,27702.318330566304,10291.122004153644,22135.03173405972,14085.25236411565,4.696969963445446,0.0420584724848124,0.1276752730662288,0.071858595985828,0.4634370068151021,17287.72960428119,10724.391368429877,15158.385821837495,0.0555952093038865,0.4766630467402985,24721.833163512856,10019.023307803924,9740.312744012524,8214.18340541623,1
18042.95148939144,55079.14358437414,9897.72951365124,51512.396320426014,13344.812757965872,9051.839811993745,11530.140187787632,9310.563959979989,4.428633325827417,0.3127168824648069,0.124852545584188,0.0498463784169407,0.235070031316071,42986.05002690069,13060.210129010273,10518.659689329894,0.2116851429619767,0.2967417336439762,15589.572447435885,18545.916247666864,17107.615549795475,15458.714692955553,1
38514.906318641326,32632.458047001164,25501.63614813954,29361.711655677835,19298.268194015,25647.03234182341,27294.901085052188,11277.422040992931,4.647815495650005,0.0997632568770932,0.1233764888168892,0.1383867047614217,0.501738109908112,25470.57432367458,27325.247234800994,11585.781617387063,0.0915344043171398,0.4632702307019072,19251.975631251586,15932.180077958774,4194.835191482482,14990.713329761084,1
48064.12564130256,50808.33662971329,14095.012429604192,51018.79673271339,34426.69370956214,13243.621395317195,15749.610719128092,5480.717075280079,5.015298379804868,0.248432229530875,0.1578863347236792,0.1132257924289284,0.2591633579529022,42835.64629098062,13183.57118981197,7412.387064524742,0.2040927859569338,0.1982970601453829,13535.39911943244,25416.64761169586,22946.496319679973,17711.731537570828,1
28026.34463198377,21933.418937875114,17600.835056112737,23502.23948588109,12643.300771327762,13965.904104874246,20514.38570006996,9945.167808544524,5.16369531245771,0.1175015707958212,0.0764540991376159,0.056047224183582,0.4785005329846641,24645.264032819046,14770.247118119056,9050.402676959942,0.1410093301100637,0.4829566531414427,20780.180583203808,12935.068180742546,11346.209902436687,8610.64528518747,1
27016.42924467677,20193.211472118288,16274.473250948991,17506.666646978847,11517.826402494098,9677.995274407076,20280.42069917797,9751.547673654632,4.823344638799669,0.0372816659346648,0.0555076281749357,0.129270165008451,0.5167858096623603,21759.930880663163,10334.706962742275,9595.52903683923,0.0984414860681538,0.5011407337748381,14498.08888558064,16668.012942546575,13696.6395745117,6200.908556796665,1
34632.56103613207,28394.82042690504,13942.001120134815,25270.029204668383,21250.2169800514,18328.91683765135,16734.640177912715,10595.170585911308,4.844402664537253,0.1338056392618369,0.0987486663460789,0.1366224767428961,0.2299564813166008,26870.111660624712,19461.647151226327,9574.556386110786,0.0720299531001881,0.2261023032047665,15852.651524929604,21023.634755634044,17565.964420703,15968.689565774728,1
10437.024457702948,33507.84963233616,14432.997695362244,45096.78283377585,26098.012475914773,19990.89598186965,12629.016104742996,14081.454916718723,4.89826909312974,0.1533311722045816,0.1102905041874615,0.06751317168074,0.282943470171593,24013.64230676696,25732.834274782304,15475.367810025911,0.0841255306255818,0.2991488769237935,13613.562765157623,6239.500020153454,13845.886088128407,17818.337276681505,1
