,0.psd_delta,0.psd_gamma,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.psd_gamma,1.spectral_entropy_value,1.delta_rel_power,1.theta_rel_power,1.alpha_rel_power,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.sample_entropy_value,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,2.beta_rel_power
16,11975.254589054335,1250.9761542938156,6997.849427299672,10530.383944231377,4649.884198951607,3567.2939709946204,1248.7036212471562,4.588220342734214,0.1421290190907583,0.2507947285786011,0.1257273054989956,5050.696328349439,9834.0282707119,4816.498348042738,3303.0746164480765,1711.8102482804418,4.554245744682158,2.4849066497880004,0.1195992179815019,0.294022937913379,0.1376375945729665,0.2521830515020097
17,11622.694755616934,1067.4226786567945,5148.960867125335,11272.99405438891,7205.920084622863,5607.610774091546,904.1407149877816,4.691451126768143,0.0454792984099158,0.2522040868178716,0.2321924989468579,5164.586433171873,9616.005744901968,6951.075572844299,4651.511622711123,647.910250606161,4.589859372105858,0.0,0.0515113555609966,0.2494294887523355,0.2630512854423406,0.3111185472446194
18,3089.5302740965067,1117.757561950468,4292.050649133531,5738.289897654317,6644.271748670452,4130.809358579833,978.2009107319952,4.894440731319823,0.1298820617456124,0.082170498334292,0.2937306476496962,8398.124089926041,4444.111676143806,7147.618585588651,3753.049723422169,813.7753087566208,4.693657822369955,2.4849066497880004,0.1540354005761475,0.0627532613633582,0.3150246052449454,0.3729223393216269
19,10764.61622476026,2432.4650772063824,4475.124931662319,12341.481894809089,6409.3493698501015,3862.11748907693,2241.125665191032,4.876333341491833,0.0665417645480816,0.2533862706425228,0.1108101841920346,2510.70164599119,11973.550161975294,7448.123637545678,3803.859832948064,1852.2968284934625,4.775255354339109,2.19722457733622,0.03760196449103,0.2745835642444064,0.1639985656712427,0.2938333278891094
20,13032.696848658508,1469.354777007664,8588.838273941998,11690.274344750816,4650.116258712628,3128.5969276130686,1941.280580411268,4.940805193277119,0.1491132557366629,0.1667339681624277,0.1375259050913711,7478.199954102962,12772.385290143511,6504.055102024508,3623.255570565087,2236.6547366314308,4.763267458627789,0.0,0.1253181859641138,0.1582385422040913,0.196599644886991,0.430767611133324
21,22214.84685527173,1049.4365311834897,17717.497328171215,5829.470914164672,2580.761226666387,4963.096279388982,1263.252698050199,4.751906866924922,0.2254924235580679,0.0804857473009759,0.0498935878967828,15535.891787838298,3988.236060194354,2431.5245888122167,4537.26639896049,1182.714046026418,4.714015057358494,2.70805020110221,0.2401038269152922,0.0644738281391421,0.072795328616906,0.432283656181731
22,12930.040392540071,1240.471936654992,8453.271868004871,8174.717568756018,2619.3796707505458,2313.081079170462,722.0345985740099,4.642507284643516,0.265642481672928,0.1432649643711518,0.0658580320768495,8363.951125914595,7654.423940574367,2208.082466951297,2197.753419880353,693.6238032485708,4.623450733641285,1.6739764335716716,0.2492322279971693,0.1752104476293748,0.0697356778817487,0.4201853303396246
23,10137.86159554561,753.0526186398488,8322.638162043728,6217.611261894454,3176.811925440581,4470.468792423144,557.5816410388518,4.757561579392542,0.1885901836947835,0.1738765556926464,0.0421294848729631,7721.8011297936355,5965.3493340120085,3147.756496406877,3524.3482075041925,597.9168774273357,4.652982755452533,1.871802176901592,0.2192114077869169,0.2172269458485995,0.0544666556805306,0.3524325370234415
24,15778.064344225391,1848.9097069853904,4795.047910455178,7411.953613291618,3980.332758122276,3893.872495535999,1288.8341342773074,4.942781276600466,0.067254891870726,0.1282125261041881,0.1224603869078358,5308.087618852747,6827.255393882731,4386.921842852857,3156.996465664445,971.527605265996,4.80650709584569,2.4849066497880004,0.0869849972520157,0.1127373144615033,0.0981962964245293,0.3419947516523566
25,27565.2445560832,4618.310401698119,33971.992221594344,27430.83783067444,15693.517111356732,6475.031557482461,5013.429394294304,4.484956049954191,0.1899383586159514,0.2662646813822864,0.1700303972351405,27035.37227849873,26032.5937845329,13933.588480052676,9115.734049292783,5940.699728265232,4.655767664128515,2.3978952727983707,0.1392841157226376,0.2122340539176281,0.1188673117922467,0.2387979570775847
26,25918.677311310457,2774.433313746235,29629.655824136684,32711.742557477875,10814.259267494868,8602.3414412017,4395.805427437617,5.053163498056116,0.0850282109878131,0.0753154923420394,0.1174609439773626,23423.11723421385,30439.929809470126,13890.276213819949,8833.167499599725,6715.027882693705,4.990223323670231,0.0,0.0612320253346837,0.1078540522683352,0.0975332092883294,0.387606470299734
27,20835.691192463844,2767.931909352222,22004.356466571982,20648.74616264114,26027.598617880576,13460.136119141316,4143.892892044305,4.554754440532372,0.0402847724119933,0.0757872759168181,0.324226793052878,23588.288844046776,16526.855238517095,22712.50685460291,12240.379715318151,6001.503574738458,4.692788570030234,1.9459101490553128,0.070289694663529,0.0621797995830772,0.3112316857920246,0.3403256437509287
