,0.psd_delta,0.psd_beta,0.psd_gamma,0.delta_rel_power,0.theta_rel_power,1.psd_alpha,1.psd_beta,1.theta_rel_power,2.psd_delta,2.psd_theta,2.psd_beta,2.psd_gamma,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,3.psd_theta,3.psd_alpha,4.psd_alpha,4.psd_beta,5.psd_delta,5.psd_alpha,5.psd_beta
20,16205.157760732256,4517.605754424612,3628.882441338415,0.0739346551932289,0.1611620646259625,8096.97073996002,4493.458871099761,0.1001595719685288,16052.711470575874,9161.403591571656,4284.98943387813,3413.718631909301,0.0991209355909207,0.1043219388565376,0.0880698784286005,10541.467265170537,7303.996001026758,6890.732957394786,4523.210260202507,11640.189680035974,4877.181234770131,4061.026885810657
21,8307.336370054645,5986.176496115348,2369.126448027544,0.1013548204306643,0.1631619492065216,7596.549607033994,5349.065694419547,0.1586128731195874,4754.091763620486,14379.94399198165,5013.366426661192,1906.289712110414,0.0526718025454706,0.2163333668058188,0.1463667154057553,14305.12322753111,9769.547233719491,8397.667425221307,5280.642847143583,6542.149108199569,6704.937859622285,3924.3593856622497
22,15541.068177052532,9840.166963173566,2611.864133709744,0.209495500003587,0.2158029617899756,3539.8856669467173,8256.640842390792,0.2104909334195699,19697.48158578272,11374.677494618303,7249.714900639114,2242.6279085855986,0.2288520807699884,0.1967956641442159,0.0964580384768521,9317.122754986114,5242.0427452625145,6970.9000366053415,8527.676832144432,8816.76104711811,5776.087281324555,6902.249430479194
23,17238.02556271098,4898.419836921892,2030.386185467857,0.1761341602785577,0.1618063758949445,5437.076666896141,4066.702901994797,0.1647147337761243,16082.503805947854,10241.58155524447,3884.648331091332,1977.9858866471247,0.1503143703043437,0.2104550063631055,0.137212507588934,8000.3640379742255,6444.958457499354,9144.848235536016,5408.126858191428,9130.506477449911,6800.009848336179,5071.588058156021
24,11606.255395212058,7007.160481264269,1964.049120847432,0.085261047723893,0.1514829293943351,5511.128933033786,4953.196128077881,0.1238179625118924,6784.7319782038585,7926.651310578775,4509.018099709997,1948.4561353802128,0.0748076760917256,0.1254617098266021,0.1538566275291303,11876.024655215471,6031.8288594635,6199.468723227683,5827.813501327016,3716.056862837539,4941.820417748382,5051.363810316387
25,16699.969101512423,7067.378715927178,2025.229492948445,0.1793870122139864,0.1766446974364494,2903.519705543232,7235.029662552783,0.1374551140279446,13881.304363925829,7579.6160746278065,7295.425018857726,2391.759636459725,0.1575189459402524,0.0998069773165292,0.0265854007265525,10505.968379788088,3302.9540635327635,5300.834337889641,6510.316962470384,8184.14971244866,4821.907527768228,5498.040472864153
26,18247.117341432862,6677.388232450751,3458.2642873131367,0.2828363331596278,0.0688360814658901,5606.400939647582,6617.169271831633,0.0884209418557717,19967.174416337617,6561.725415768675,6045.581019892522,1929.0768172305548,0.3063668587035972,0.0892378450223595,0.075987517875778,6701.117693186428,7497.980805963405,8575.812612448157,5178.359832063563,12542.950875393151,7700.750023140739,4425.275159645905
27,7330.025926536005,4528.573380655808,1546.0491394047156,0.0889692233664539,0.2412912768073514,9867.344792358308,5965.263032731452,0.0785461602328217,14907.38972756566,8589.856046556799,5822.782852984216,1510.4867726211323,0.2981595459758226,0.0752235809726015,0.1888630857759635,10657.917902608137,6903.174523761712,8880.217185183517,4469.680013104705,10609.603050464417,7284.984747167032,4461.015846595085
28,18980.053072257524,6498.271973683226,2863.9912474704065,0.241363587321552,0.0431176953995962,10858.476472845958,6477.707534325165,0.0302667025211402,15216.86585581471,4468.391925679759,6556.749486594628,2615.8460625583502,0.2036706157006845,0.0328188033742677,0.1520375336506215,3998.5543536643454,9120.9364340742,6864.625032948064,6723.271552626034,16211.526323665665,6127.442255701989,6151.975285453226
29,12497.603035427115,5742.872344331278,2127.561256746444,0.1901634000948613,0.1813375797186031,7242.303631774567,6262.340582131073,0.193806843437661,7249.173463528509,10219.993034385492,5353.416106498157,2735.3360419903947,0.0960905517385324,0.2294074117960483,0.0846007767050443,9746.670341645133,4172.741293950104,5682.389620676087,4546.4004855223775,8995.184917549914,4224.150402529945,4097.514441875185
30,9215.09541716354,5886.427496905241,2528.424546461228,0.1000957869311458,0.3579451911306022,5596.703612102695,4518.242534534575,0.4139013228926783,9842.145049836015,16237.46543769562,4440.548635753672,2138.7741929956183,0.0543844880209822,0.401259762537562,0.1137113262337915,9990.695533088276,4329.455226920824,5432.393710889804,4640.337383598535,8276.305320459594,4712.386813939095,4029.435541276345
31,13173.156118580557,7702.87759216584,2109.543782601195,0.0820556139153979,0.2114988512550957,10023.211080196796,7242.699973118354,0.1777274836488514,7864.75133514984,8178.282306102895,6548.615438630854,2200.870793180191,0.050001263477253,0.1534069217010258,0.2003472746445897,10447.732593534358,10306.108533105597,9307.296172799828,5984.384648840496,9125.765513126564,7745.174769427592,4481.015248950683
32,11209.91167788047,5385.62035077389,3103.30441138577,0.1249641230219134,0.1317574679430085,4169.433028818344,4855.036754725883,0.1117894649347876,12812.866849647777,3397.555888292575,4440.956235838191,2370.40256608235,0.2234185511093941,0.0216069285377488,0.0611654241862533,5101.074199383388,6816.413467810223,7439.871483031781,4471.292946464124,8976.694529369044,5963.393089258141,3539.2147095738096
33,25785.472397091296,6851.4087369841045,3319.9946323181352,0.1049627345109163,0.1289090045674009,8118.66698157782,6704.314675528245,0.0857382497913018,19622.88138094084,9140.423330645515,6251.964094551421,3437.898090961482,0.1257483589456537,0.0696793235557941,0.1623115931504312,11110.115878383836,5344.690783013596,5892.892051240405,7158.588831072375,10354.05053110799,4474.999480570576,6781.406070578009
34,13757.560487420356,4300.5294751724405,2255.112829283079,0.22011984041284,0.1021105655758578,4346.214138462109,4392.960455459194,0.1269602755295102,15400.499371892083,8431.52690002724,4967.130622364932,2626.6107523482588,0.2232432086132516,0.1237779776650836,0.0962454146938621,6434.306836318084,3299.9667092104683,4013.7453154999216,4646.063898721875,11055.012265642836,2783.801807024296,3971.07782951629
35,13481.380114432231,3054.843335134768,2238.3163121386333,0.212624856818363,0.1195976126726499,7150.400612802138,3038.568165386428,0.3669893746052624,8964.696908022843,15926.62646388356,3144.421603352984,2056.967357611174,0.1516419199789115,0.3926001034464031,0.1260287191152704,8897.544946342236,10273.10570723713,11123.591561640344,3279.306782014512,6252.8417956430085,8268.521798272102,3005.517815713508
36,16382.933297435084,8376.717619356981,1900.6196839937124,0.1744223511656518,0.1692077142446882,2283.5745812391147,7054.451390951575,0.1391408415648271,9649.48117786753,7841.971907482401,6630.790226487087,2134.826583010501,0.1430561424467291,0.1252905620177344,0.0627301278281531,10375.184603592705,2301.374262744239,2565.3310497758303,7298.6622902623185,10531.580402923752,2200.041915131524,5784.993714389752
37,5758.795972742873,5614.090419057317,1836.4232880356008,0.056210581881811,0.2772772126273168,8552.412402223172,5740.095730025196,0.1515401709173287,12826.840900130885,8917.814633162945,5717.348303828606,1685.073653595119,0.2009410570871879,0.1598279595129776,0.1523147704347658,10584.426586867516,9733.266593355078,13841.579565532948,4751.781903006894,6692.881110315759,12666.64856267556,3742.063175401961
38,15902.376504841175,5792.800622976823,3628.157093099703,0.1760367652835147,0.095624542413157,4049.0964510093145,5890.799273099476,0.130133456106604,15309.768637157804,7908.691643097263,5243.198399339191,3409.4450624683163,0.1749658527712775,0.1222783753872699,0.0444950864629057,9466.189294779964,6498.996745265992,9506.482631667388,5490.08893200988,10734.521262504784,8604.930944807174,4309.320005619917
39,6028.244747578103,7231.968436371727,2040.123554472245,0.059534142191845,0.076139458938968,7135.504947965856,6572.331309184254,0.0993086914182007,4857.255823348244,6767.172680905074,5943.867053773317,1879.536166152046,0.0616689703890319,0.1008070633692163,0.2292292356274299,4558.858082354155,7747.811510870114,7557.941712762662,5842.219508391738,7631.36220457609,6960.1222817835705,4798.195139064565
40,13087.922567117326,7824.597185256236,3873.722890930833,0.0840956961124593,0.144704186901021,10033.20055486558,6097.385164133662,0.1338579869349227,5288.514289998551,14696.268714920992,5718.174884233766,4134.489609325645,0.0551924952270957,0.1365844551765363,0.0876908999117887,11390.177171740972,9413.125177409514,11721.149083764223,7447.80445628113,4617.295752438931,11245.637464824022,6212.826506753201
41,10176.814187778244,5683.363514547771,3463.4703219256808,0.0626934067054092,0.1541129503228616,4662.777525812238,5621.832105664797,0.1560021350841058,5777.118099411152,6804.00327735492,4821.438397419208,2359.770556609102,0.0652122386595019,0.1548981302874163,0.1327822350572884,6484.808071247078,5508.040528226564,4182.035065571196,4683.23464210568,7447.191624687676,2436.2604765844194,3895.1266406124505
42,10810.80329516256,6342.10871324991,2080.9289973719,0.175425869645275,0.0824623949945804,6363.851580956593,6137.677690525974,0.1144763111080649,14876.133350123231,11988.64109317326,5374.257827812602,2353.2960123333114,0.2814939868318722,0.1129388704375147,0.0467811700881582,12657.246427993672,5401.052357814349,4538.627477444206,4498.791005739732,5654.603566527993,4097.025831149262,3537.0691272175422
43,9552.045936266455,4468.247094009736,3103.823655686101,0.0959166485039594,0.1735670860187042,4295.606644832466,4555.209915956042,0.1791891984877707,11564.42689730118,13932.341053957833,4259.991039608539,2535.713894949633,0.1232510913136222,0.1560614715407633,0.1042966323584671,11640.03175772078,5854.972549922854,6247.408816879476,5178.857643207692,9938.177035370174,3269.686694717924,5015.378928798219
44,14853.505010774705,6459.72916901907,2161.1693313627225,0.2120873317118914,0.2109866994701053,3123.4393546489027,6860.499726226295,0.1733333463489969,14802.08007780262,13792.335349112916,6066.436089674738,2384.5008961946373,0.1693217216366911,0.1642649760499245,0.0181149898028167,8889.74511221792,3479.2746695082824,4757.450178429176,5511.489315143765,9480.024939915931,5070.912806999032,4667.581839698626
45,10724.246672461686,7172.332069533688,1808.3204703295703,0.1062852894962522,0.1415128067683952,7177.010440649244,5704.284298374732,0.1001588052865417,10677.176200397049,10434.174469130088,5870.103649960351,1701.6909396982742,0.0929453852911706,0.0768306123735658,0.1825931750757142,11594.499490135162,6606.793509394423,8913.322507250366,6404.193861544514,14734.733942104758,8494.421292755145,5113.588151752486
46,16677.448249207104,4924.082551398454,2185.497819825489,0.270883052019904,0.1583979966974397,4926.212198379766,3915.6814539966726,0.138630032188808,16864.718525315104,10749.0793144311,4005.802607932296,2224.591559937476,0.3177537936079523,0.1320438834331432,0.1168179256211164,11972.449751698348,3306.812683170911,2641.0302859313065,4937.429192009422,9162.713874934232,1926.9428386378795,4135.371378392297
47,6783.325534111474,6808.333103350595,2508.9884452139872,0.0466928122991506,0.2292135195652354,9781.298555502768,5977.0083226952565,0.2096566009440126,6472.840976841896,11973.222092310987,5856.335501631267,2334.5150510878702,0.0961840984208445,0.211667398923746,0.1050858513320504,13146.97027190451,10090.918829174318,10285.261937921512,5832.310029578485,4827.863094535847,8126.031514109144,5055.023545143595
48,6725.271385096155,3976.749944012633,2360.076154616424,0.1037106909821997,0.129885127763599,11988.524366847596,5031.430240543905,0.1154786197765419,12712.697560180382,15558.829382173502,4882.624968620925,1815.4054005381893,0.1542994347980886,0.0888169978560449,0.2129332074772177,12052.441709270504,10796.677999658124,12723.066238038517,4888.77521423396,7528.423218247246,10152.623299007382,4211.283040819296
49,9034.119369859292,4841.497312628072,1963.5616437891133,0.0266576526511792,0.3157379957824991,6159.180844681981,4671.031340755466,0.2496027388477318,3166.5463365075543,16574.83784807175,4141.900793795397,2766.110140536733,0.012624489126491,0.2823440761607552,0.0701179390489523,14254.89208654178,4602.333561547627,6048.260377085859,3785.346458527609,5233.136301937081,6293.369799089409,3090.678932794543
50,14281.1704342989,5635.876302961629,2139.738126794251,0.0807218772031003,0.2489808288376795,7462.731076737266,5371.223544042808,0.1913755974534385,9850.598080776948,5291.882261886143,5296.39466174979,1047.1389460574533,0.0524095432780848,0.1579721320328235,0.2916959590335486,7294.639148869898,10805.092504832464,10963.21265999478,5283.065159502521,10907.275916817902,8512.933501181798,4558.997353180758
51,28806.56302376956,7123.020821658549,2086.0327075851364,0.2348437138935831,0.0727908247348091,7779.764453484645,6626.670138055921,0.1093089152033878,20235.839764057284,11209.0419988383,5779.040574488095,1509.8439633060302,0.2535183748208378,0.131671659654062,0.1196468925388288,8860.188928976122,5730.905672953407,6124.155706080132,5796.673363548023,15225.725718227648,4874.672608401798,4885.480136112304
52,17289.479099305543,6020.783158318093,1132.443730582924,0.1593829987569799,0.2090189570349133,11176.223182075944,5681.734221402991,0.0512079580504091,14857.087694159294,9228.97678325725,4958.5306871756375,1394.5931898725587,0.1262171302827836,0.0602087053353209,0.3239096619031479,8749.17229803001,5681.3439277667085,4104.532263897682,5367.810116826069,12886.3260838963,4208.189333469077,4286.442853976884
53,19901.98402071271,4384.807651096214,2376.328421048835,0.1502629467995962,0.1845028014760123,6451.863619734547,3299.40783713597,0.3280013414071569,9428.285679762595,9053.527678407438,3018.430241109485,2155.2920880437377,0.1101335086426532,0.3189570041612346,0.0707271118824387,8787.0048440122,5357.372437153701,7238.582984372942,3717.0411268185976,11511.884377270611,6808.954975269531,2627.870698872167
54,18748.153965587768,9712.756640332223,2013.508572679997,0.0969507706276976,0.1928746733383535,4610.841775892488,7277.737118117531,0.1930261352522091,10450.522111263675,10387.74204995556,6350.619997735196,1973.02037537402,0.125062401517206,0.2236624945353631,0.02876089730666,12993.917530456129,3675.526555834973,6263.957068613328,6372.138606240494,9493.883607483736,4564.57920578583,5189.032202075783
55,12360.59944514951,4629.632286395447,970.4963029356522,0.0843082346914018,0.3056225543576235,2466.8346621223823,4631.583071427606,0.0929186161673426,8944.391431222086,2645.510275573447,4486.91867231406,1499.4880293567894,0.1515273189343687,0.0322052575255515,0.0579531101289396,6382.923556157663,3340.365673084036,3214.4887082889672,4405.051075498677,12395.035749315568,3228.3579994172524,3618.810574848665
56,8019.333484551756,4816.635165374149,963.0230250043196,0.1688413499825367,0.1995541467135075,2976.828757845418,5417.706638888581,0.2015935878559568,4451.569682266599,8503.103934976669,5159.734074003409,1599.1277564354002,0.0988052997253501,0.2347694826897285,0.0344627739615483,9705.431513063068,2276.047936962881,4047.55811380092,4075.7781206608415,7049.160337664418,3308.952472482657,3693.6517686304464
57,27881.76177674837,5015.981094175018,1378.1317765356162,0.2029462154455273,0.1397155094110158,7185.223328674612,4682.747628388352,0.1436273421217272,20367.125135315466,8431.362175710214,4537.936216703285,743.7980454875662,0.278100626385457,0.1287416551311773,0.1360396076381426,11964.067589401744,4513.187853018838,6638.998202416646,4234.019071698057,17781.252698585136,5296.769230364428,3592.233153609931
58,19919.61246514677,4463.5041031399705,1478.1536143262535,0.2409436044757064,0.1747391544298095,6898.409997336518,5018.257506611346,0.170489264880541,16054.777295828762,6534.641179628236,4716.927567949714,1543.974223039602,0.2001151158822958,0.1111817340156867,0.0519889484888335,4208.377568626192,3127.565500250547,6094.2057210504645,4620.394065571076,9024.401823345606,4791.702627537729,4075.482637181698
59,15202.186183210217,8188.126550831535,1353.1088366149909,0.125592633939509,0.3161618074081866,13232.41084112265,5834.914613010087,0.3135935054315184,12265.323315000613,17927.87659173915,5514.296212859318,1328.773831276361,0.1326047682881148,0.2982508112443017,0.140541351526923,13546.159784585385,9746.372780829228,8826.39580860796,5984.628469197356,8492.809708302635,7569.229575737564,5111.57478378126
60,24192.36901456269,6300.655212308228,1667.4772564353775,0.2511354123330586,0.0358303955372943,9744.946218213929,4944.337778224983,0.0553812981941291,8026.960876365792,8990.08874575216,4608.081918510254,997.6279245964382,0.0572998925788181,0.0766484859502662,0.3383687019883112,8357.494763922452,9039.75154210377,9860.858214177577,5053.657635839483,15189.502300320037,7430.436602417405,4130.825783072413
61,16133.30125858065,3800.2407629120007,2053.647779807592,0.1302620308488133,0.3228396051845099,5489.187221069173,4427.678192611761,0.348604054698894,5130.540929111312,15701.920918129725,3737.6193339879537,1554.0767067435536,0.0631069708850019,0.4491043748419823,0.0843622871558498,18460.288898641487,5555.635630670961,5638.864375022898,2419.851843954862,8051.046420084054,5063.941171379867,2158.3513173712345
62,17130.238994764928,3881.27632536589,2076.2689277452523,0.2351858835717495,0.2307627324969034,4351.959514718398,3849.895313177263,0.1872576485229842,13523.279930803215,5563.701875445883,3783.879802444341,940.6589323539793,0.3004226716937059,0.1610213335345302,0.0740130192603086,5141.858163933798,4489.102709682951,4136.656243825632,3630.573501960656,7289.574135653157,3014.07412718394,3611.189389019021
63,20615.6773383604,7370.661507981382,1678.1141764996837,0.3233389523879798,0.1490686678046635,6751.5267328756245,6206.263574311784,0.1216905532039066,9533.172398347057,8435.497696976638,5387.687529290176,1995.877617167561,0.0528436477529698,0.1768980792350005,0.1452611030107777,6578.94972565717,5784.294702643001,7772.663412013107,6610.648589368831,12664.543460958435,6924.464346317786,5630.5532742137975
64,16109.541946454645,6011.479747869491,1853.9559484879449,0.1057698092602154,0.2764340571731024,3616.990746640528,5128.171036644679,0.23642260933243,6012.859255741431,8265.13421291862,4442.613685931989,1355.0255502674777,0.0696530537716959,0.2094398450601677,0.0978667504273517,10296.9200108586,5030.518186496213,8262.478539497277,4590.678166324492,8993.393370530699,6599.259510226561,3809.657257256605
65,12637.062950879645,4601.354308021138,1229.961440761968,0.1300181386445901,0.0466189481694876,10577.476364677445,4041.284025582218,0.1079160792975077,15339.836353863311,9313.563936100913,3555.144034913961,2037.340182827616,0.1905694441322265,0.1551982084215722,0.1192313791058789,8915.941035063148,10603.168100236848,10208.798300391947,4250.122772261082,10205.001749733638,6461.884562077829,4056.712448485712
66,9129.199394270743,4202.663375496714,1945.291598493177,0.1284834408651265,0.3054413944254751,3768.7687924135257,4136.827240537623,0.3321892326982168,8846.51352729686,8181.327779607786,3550.935586793395,2034.4889645263927,0.1476742204450839,0.2632214730980001,0.0604159339228482,13884.199107252083,3973.410744161925,4203.074036897023,3444.2907827955223,3727.2000042336863,3786.8774530236255,2991.292916007503
67,9684.67390166789,4458.822085808428,2734.216040060625,0.1062751433920273,0.2671048855380944,6404.29570229908,4650.02317940301,0.2014538426406961,10903.778394310446,14783.589428812778,4525.367277830518,2318.50974125123,0.1393716328328941,0.2064528899000657,0.1009182014822008,10663.453909226231,6130.511797989845,6662.964766376346,3714.494657328262,9761.635231957784,5731.81495305405,3215.4303662373145
68,15820.990278957916,4877.897867412825,1745.2429024331889,0.1380586583465303,0.1958930688413209,7502.271098154898,4550.210320641092,0.154237420256786,16296.775610550429,10983.106094761431,4942.182368882121,1355.4527478340067,0.2408566899661126,0.1285161983894041,0.178723674236357,8511.992018812269,6367.5264416442615,7010.459252965907,5406.389721212526,9415.966165689217,7599.358505809209,4880.520179379326
69,22975.308632646927,4808.9201118493465,1395.3831519500625,0.3430861725615917,0.1726483009472084,3303.347478496109,5675.804284569008,0.1792495117666501,17214.544596962973,13065.107877085062,5650.393059242447,1607.0198177262334,0.2891607642266395,0.1700715305660301,0.0485049451139823,13100.515148232742,3494.2493405956834,2847.3492811796145,3732.966510715039,11802.775964354478,1240.7084537523683,3522.2220063030795
70,18616.89228206584,5708.229570537009,2345.9790928009056,0.1934076187696092,0.2217608548081668,7053.898714748798,3540.8849651627843,0.2586433217833365,13206.153585842663,14101.815623095785,3241.3206033921224,2148.533490690358,0.2089518564264797,0.2384141905248404,0.108472302374042,11619.617056438166,5292.758512962482,8145.787156849549,4400.956336497173,10427.80448615522,6167.652948120799,3880.351791618336
71,27439.15653071363,4246.85306267842,1517.712205145037,0.210966737810803,0.0561643817597454,8797.070645544021,4075.422190112323,0.0937948029088722,16039.96667372909,10421.338406163415,3303.70559508046,2032.949800482373,0.1993416662443554,0.1537936407656563,0.1514343122548024,7431.164453461996,7935.607540552362,9229.78106096847,3200.7378353870777,15014.238806003525,6538.610899489421,3168.9670760336867
