,0.psd_delta,0.psd_theta,0.psd_alpha,0.psd_beta,0.psd_gamma,0.spectral_entropy_value,0.sample_entropy_value,0.delta_rel_power,0.theta_rel_power,0.alpha_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_gamma,1.delta_rel_power,2.psd_delta,2.psd_theta,2.psd_gamma,2.delta_rel_power,2.theta_rel_power,2.alpha_rel_power,2.beta_rel_power,3.psd_delta
10,6998.403297501935,22787.26307215324,7195.576305052935,5679.215656706631,3118.186915813141,4.760291791711909,2.4849066497880004,0.0548638242090671,0.2076310081905719,0.0890264087106614,0.3694516177089831,7746.272002059996,18554.642762659747,7120.786909808553,1937.6883492577435,0.0553987304362585,6990.958897997507,17959.30940541521,1633.800307746864,0.0481093827724841,0.2592773604183653,0.118659921015729,0.3751004047897949,4404.334440491848
11,19640.27366891129,9818.663463390854,12878.857729875068,3931.314863262438,2916.0638421897274,4.886409559142666,2.1400661634962708,0.1880476219380556,0.0461719833765162,0.2506058209655395,0.3006870200332933,16101.495588249189,9340.467047440585,9692.1254805271,2435.574984020468,0.1539946100784676,14449.863367811266,8872.475461139431,1901.8696973291865,0.1609066070339655,0.0684759509324282,0.1977893956189998,0.4060390728961039,15768.238611684726
12,19580.761821333446,13334.908043751386,7616.291308793123,4185.222829390458,2771.1239665460694,4.743097091374014,1.7047480922384253,0.2121119256966862,0.1371788757708532,0.0965629687398998,0.281785336145294,9962.890027722366,12075.84061778755,7722.163017600261,3398.076409529123,0.1104696778371218,9017.660834932763,12122.438829480812,2811.4839644745016,0.1010802783434757,0.1724706619934112,0.1341068426682541,0.2147965515409289,12884.835083458003
13,20213.386179974048,5644.181775288229,7402.972985011497,7648.661837293684,3749.53861913212,4.452665079001127,1.9459101490553128,0.2405655553784545,0.0704730817722834,0.0655480087030351,0.220805383554392,18237.64873995809,8688.509668598517,5812.190715446745,3682.664947454253,0.2317364267863489,14260.890132715756,9800.073860756129,3462.067065461073,0.215579580612626,0.1062996680634795,0.0692234968110279,0.262622795116214,13309.382350016816
14,19819.811866129392,8200.906768486693,5670.639913214298,5793.161503440584,2366.0697114676227,4.785159846863822,1.791759469228055,0.2347909828988006,0.0849222388433894,0.1343435829700631,0.3851163763897658,11946.991842258913,6522.1458398956765,2426.148270206957,3037.05051877313,0.1680492297895221,10090.932158891292,7955.131300630312,2950.3830413389487,0.1256566306274945,0.1509787383931576,0.0832484769009148,0.3800842224016121,12682.666638474708
15,17568.032820139415,10024.643394838164,8322.393528784914,6111.455963399105,3355.778933511844,4.698659550530102,1.3862943611198906,0.2120255767489708,0.1016997335930978,0.073936315745798,0.4521519250954463,13454.359595769634,6160.543016081566,4648.061566893963,3187.7810668431803,0.2189659372057728,12808.803940479227,7021.254555744779,3105.610091966327,0.2226154686688088,0.0841718998167471,0.0590040044113464,0.3937226384875412,13553.59870056619
16,7569.163595836431,18092.48289758451,7598.0320547505,4675.55997443145,1889.306998763747,4.764406297514726,2.3978952727983707,0.0920366935684141,0.3650735854893248,0.1155754549184771,0.2517840184391722,7996.54146078713,13064.462786540284,9121.827698143805,2442.548858280908,0.1084083337103893,7975.247349613052,13369.943808272006,2167.976996181463,0.0851828417091439,0.3128880317275377,0.1063590455507392,0.1743660957223815,7621.930483037306
17,9007.2426669595,9777.948205328075,7007.523857015676,5054.528823769163,1671.741335556507,4.789233096105298,0.0,0.046837788018484,0.2339085033673896,0.0974719363877327,0.3151635539960079,12973.001903814797,4374.915661781949,6157.6022184506255,2462.921192783308,0.2235965878384761,10561.547506210149,5737.474776572832,2185.747245226443,0.1970353801441583,0.1476842081016496,0.1709620131552511,0.2329959160498803,10165.653387293894
18,13126.049302098689,16527.622252698282,3951.238245761051,6651.582535938192,3879.7008792176766,4.979703593749663,0.0,0.1126547753101211,0.2030137376211463,0.0988280890434891,0.2988930583906806,14897.3564776058,7304.277107202989,2419.0158502735794,3530.716300774658,0.1737514588850665,15437.71383305117,4222.833719311265,3362.6891105256946,0.1954239893850403,0.0706718211348268,0.0221852570558617,0.317064575604285,12843.265595191157
19,10187.443543011732,9525.797138265953,7312.476708166882,5386.537219574358,1779.8856328201905,4.702012553736275,0.0,0.2276326177635092,0.1725443748102335,0.0806531276208579,0.3828862385377153,8753.563071183326,8343.38855099,6520.0031736218525,2199.648299118624,0.1004551098663077,8743.452534666832,9812.367154471893,2269.866611274904,0.0660753936131352,0.1957780113502291,0.0785962509264528,0.4514999399273856,7315.910714871756
