,0.psd_delta,0.psd_theta,0.psd_alpha,0.psd_beta,0.psd_gamma,0.spectral_entropy_value,0.delta_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.spectral_entropy_value,1.delta_rel_power,1.theta_rel_power,1.alpha_rel_power,1.beta_rel_power,2.psd_delta,2.psd_beta,2.spectral_entropy_value,2.delta_rel_power,3.psd_delta,3.psd_theta,3.psd_alpha,3.psd_gamma
26,18042.95148939144,25471.76433683775,15240.113973933829,12293.725521569417,6649.593954336926,4.476628599299563,0.151191486171359,0.2992215448154286,55079.14358437414,11831.83370862016,11550.937695056127,9897.72951365124,4.465566986037612,0.3476290892252726,0.1249259949100495,0.0792365217704964,0.2243539389146079,51512.396320426014,11530.140187787632,4.428633325827417,0.3127168824648069,42986.05002690069,8017.893771906095,13060.210129010273,10518.659689329894
27,38514.906318641326,19305.241905814662,34648.057809281665,20617.14736093784,6884.084967894608,4.56910806439554,0.1201514496649327,0.4903349173822587,32632.458047001164,17023.87339517093,27530.31525028055,25501.63614813954,4.716193839168436,0.1161308923558787,0.1080794912418946,0.1547633883534364,0.5012939251900153,29361.711655677835,27294.901085052188,4.647815495650005,0.0997632568770932,25470.57432367458,13007.764430203712,27325.247234800994,11585.781617387063
28,48064.12564130256,30557.63377735568,26193.774281643826,12708.74677789888,4127.975964488441,4.702557149710308,0.2695725496343757,0.2033143531253702,50808.33662971329,31218.17339201489,19448.63445766486,14095.012429604192,4.955634864948123,0.2648153390133382,0.1537593468302699,0.1527230693245294,0.2403386213011234,51018.79673271339,15749.610719128092,5.015298379804868,0.248432229530875,42835.64629098062,42060.88445072364,13183.57118981197,7412.387064524742
29,28026.34463198377,17851.993282139203,13148.481362060496,19077.64774415453,5363.492092835068,4.834621880487784,0.1250968350022222,0.5427188765360167,21933.418937875114,12385.005134028394,14174.474409333228,17600.835056112737,5.12604000247517,0.107138773507254,0.0724185304435362,0.0696989116211097,0.5098291356723301,23502.23948588109,20514.38570006996,5.16369531245771,0.1175015707958212,24645.264032819046,14686.054297546249,14770.247118119056,9050.402676959942
30,27016.42924467677,12335.846538977854,16758.535611603602,16054.897627525866,7960.8203570705955,4.846138186057721,0.1893557304965961,0.3980758320138896,20193.211472118288,8674.064995207933,11458.513652742717,16274.473250948991,4.82540536537565,0.1035923882551671,0.0286502518504476,0.1269931954803882,0.4217960125968468,17506.666646978847,20280.42069917797,4.823344638799669,0.0372816659346648,21759.930880663163,12510.416377709123,10334.706962742275,9595.52903683923
31,34632.56103613207,36415.23727922847,16172.380624893798,12576.767653529569,9112.480023870014,4.619149569552098,0.1246563169027759,0.1632586336131653,28394.82042690504,24954.46880131433,17053.132865698306,13942.001120134815,4.703279976813799,0.1344926974019024,0.1649758161577326,0.119786317542053,0.2135896113301095,25270.029204668383,16734.640177912715,4.844402664537253,0.1338056392618369,26870.111660624712,25914.06852388441,19461.647151226327,9574.556386110786
32,10437.024457702948,35433.483364113185,17906.62651695385,13342.859303817932,8438.867685221741,4.872086161972536,0.061210392742993,0.3479231775113675,33507.84963233616,25922.06237130656,15850.02472586847,14432.997695362244,4.875574479276437,0.1793191795263743,0.1374147026747893,0.0709171225214223,0.3497405119569133,45096.78283377585,12629.016104742996,4.89826909312974,0.1533311722045816,24013.64230676696,30581.780406973536,25732.834274782304,15475.367810025911
33,20182.806905314563,43180.73742177853,17937.197700911598,14929.590186875124,8323.554461260093,4.5350370226382415,0.0644268585037478,0.3039413363234912,28605.27009041774,24389.241501588785,18295.19481803958,17892.77743648029,4.570636755364685,0.2094162236543344,0.0793031985213831,0.0830717798128839,0.3973450018976379,39588.80663025014,21051.5692058256,4.5522922583231695,0.2298061014041403,38021.61886406353,19212.265049075235,19063.61258647844,10901.496723248809
34,19135.806413855124,28430.18465835894,12934.343278232369,18832.629730810502,10342.473773685437,4.621123537720373,0.1269281665281172,0.3368650566560516,19592.9807067454,28147.1551518536,18106.306257830165,21019.549974011712,4.809858313630614,0.1129549373314897,0.1726051880003183,0.1006708413079896,0.3303857455198807,22056.876030582047,22604.69776698617,4.851737554367904,0.1019172230353298,27844.95434846825,35306.43697968441,21553.229789330784,11880.82683203174
35,32941.63557132192,31681.74183140368,12140.790300186358,16889.3163359863,10356.70477280179,4.6493284374557655,0.1611495699400782,0.3049022263575958,38646.00043597775,24643.398756114657,15081.70937179562,17892.526559008416,4.751884251219347,0.1421160066819258,0.1038683124067413,0.0535523975113432,0.3006633533214486,52292.073184092005,17356.871945570456,4.746751220050998,0.1529205778683457,18329.108928401904,22875.27859424045,7781.267541449775,9219.426021156673
